'Elapsed time','i','ii','iii','avr','avl','avf','v1','v2','v3','v4','v5','v6','vx','vy','vz'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV'
'0:00.000',0.274,-0.035,-0.308,-0.119,0.291,-0.172,0.680,0.333,0.391,0.054,-0.384,-0.198,-0.321,-0.179,-0.004
'0:00.001',0.287,-0.037,-0.324,-0.125,0.305,-0.180,0.669,0.330,0.413,0.077,-0.360,-0.180,-0.292,-0.194,-0.006
'0:00.002',0.292,-0.032,-0.324,-0.131,0.308,-0.178,0.664,0.330,0.431,0.097,-0.341,-0.169,-0.286,-0.197,-0.016
'0:00.003',0.312,-0.018,-0.329,-0.147,0.321,-0.173,0.652,0.319,0.441,0.109,-0.330,-0.162,-0.277,-0.198,-0.024
'0:00.004',0.328,-0.018,-0.345,-0.154,0.336,-0.181,0.641,0.316,0.450,0.121,-0.319,-0.153,-0.258,-0.205,-0.020
'0:00.005',0.331,-0.022,-0.352,-0.154,0.342,-0.187,0.630,0.314,0.468,0.138,-0.305,-0.141,-0.244,-0.208,-0.022
'0:00.006',0.332,-0.015,-0.346,-0.159,0.340,-0.181,0.623,0.311,0.481,0.151,-0.293,-0.136,-0.238,-0.203,-0.031
'0:00.007',0.353,0.000,-0.353,-0.177,0.353,-0.176,0.615,0.305,0.491,0.161,-0.286,-0.132,-0.232,-0.202,-0.035
'0:00.008',0.361,0.016,-0.344,-0.189,0.352,-0.164,0.612,0.307,0.509,0.177,-0.272,-0.124,-0.224,-0.189,-0.048
'0:00.009',0.354,0.025,-0.329,-0.190,0.342,-0.152,0.610,0.311,0.530,0.199,-0.253,-0.111,-0.218,-0.169,-0.060
'0:00.010',0.367,0.036,-0.331,-0.202,0.349,-0.147,0.598,0.303,0.543,0.213,-0.242,-0.101,-0.207,-0.164,-0.067
'0:00.011',0.382,0.050,-0.332,-0.215,0.356,-0.141,0.588,0.298,0.552,0.222,-0.233,-0.102,-0.196,-0.154,-0.068
'0:00.012',0.392,0.070,-0.322,-0.231,0.356,-0.126,0.594,0.308,0.577,0.246,-0.212,-0.085,-0.184,-0.139,-0.083
'0:00.013',0.411,0.090,-0.321,-0.251,0.366,-0.115,0.589,0.314,0.604,0.270,-0.191,-0.070,-0.176,-0.128,-0.097
'0:00.014',0.419,0.105,-0.313,-0.263,0.366,-0.104,0.570,0.302,0.617,0.284,-0.175,-0.062,-0.164,-0.119,-0.100
'0:00.015',0.423,0.127,-0.296,-0.276,0.360,-0.085,0.575,0.311,0.638,0.306,-0.157,-0.043,-0.153,-0.100,-0.115
'0:00.016',0.438,0.143,-0.294,-0.291,0.366,-0.075,0.580,0.324,0.661,0.325,-0.141,-0.033,-0.148,-0.082,-0.128
'0:00.017',0.448,0.161,-0.286,-0.304,0.367,-0.063,0.577,0.326,0.679,0.341,-0.126,-0.015,-0.133,-0.079,-0.132
'0:00.018',0.453,0.176,-0.276,-0.315,0.364,-0.050,0.575,0.328,0.696,0.357,-0.113,-0.017,-0.135,-0.071,-0.144
'0:00.019',0.448,0.172,-0.276,-0.309,0.361,-0.052,0.564,0.315,0.702,0.363,-0.110,-0.024,-0.137,-0.070,-0.153
'0:00.020',0.443,0.177,-0.266,-0.310,0.354,-0.044,0.556,0.307,0.711,0.376,-0.098,-0.015,-0.129,-0.060,-0.162
